date,commission,direction,price,size,ticker,total cost,value
2000-02-29,0.0,BUY,31.054657500000005,255,VQVPFEGMNM,7918.937662500001,7918.937662500001
2000-02-29,0.0,BUY,33.80507,225,YNMHQBKBSB,7606.1407500000005,7606.1407500000005
2000-02-29,0.0,BUY,99.26488750000001,5,IWBMYNULTN,496.32443750000004,496.32443750000004
2000-02-29,0.0,BUY,51.627743,189,OMUTOTVABM,9757.643427,9757.643427
2000-02-29,0.0,BUY,33.4950235,209,ANTWCGLODD,7000.4599115,7000.4599115
2000-02-29,0.0,BUY,54.32814800000001,5,JURHYDZIEE,271.64074000000005,271.64074000000005
2000-02-29,0.0,BUY,24.023603,17,SUWDOPJZCD,408.401251,408.401251
2000-02-29,0.0,BUY,80.032003,101,NUZYJFHIQR,8083.232303000001,8083.232303000001
2000-02-29,0.0,BUY,44.77671550000001,8,NFEQMZFMPF,358.21372400000007,358.21372400000007
2000-02-29,0.0,BUY,75.391307,113,KKECYQZSAX,8519.217691,8519.217691
2000-05-24,0.0,SELL,26.136079000000002,-255,VQVPFEGMNM,7918.937662500001,7918.937662500001
2000-05-24,0.0,SELL,27.085936499999995,-225,YNMHQBKBSB,7606.1407500000005,7606.1407500000005
2000-05-24,0.0,SELL,49.0226455,-5,IWBMYNULTN,496.32443750000004,496.32443750000004
2000-05-24,0.0,SELL,44.5833115,-189,OMUTOTVABM,9757.643427,9757.643427
2000-05-24,0.0,SELL,22.756586000000002,-209,ANTWCGLODD,7000.4599115,7000.4599115
2000-05-24,0.0,SELL,43.833424,-5,JURHYDZIEE,271.64074000000005,271.64074000000005
2000-05-24,0.0,SELL,20.036994,-17,SUWDOPJZCD,408.401251,408.401251
2000-05-24,0.0,SELL,35.01474700000001,-101,NUZYJFHIQR,8083.232303000001,8083.232303000001
2000-05-24,0.0,SELL,56.351546,-8,NFEQMZFMPF,358.21372400000007,358.21372400000007
2000-05-24,0.0,SELL,47.3428975,-113,KKECYQZSAX,8519.217691,8519.217691
2000-05-24,0.0,BUY,24.973745499999996,95,BXWVUGKTOU,2372.5058225,2372.5058225
2000-05-24,0.0,BUY,42.2563375,119,WGXSDNZSDJ,5028.5041625,5028.5041625
2000-05-24,0.0,BUY,18.812821500000002,128,RUUTSPVOCC,2408.0411520000002,2408.0411520000002
2000-05-24,0.0,BUY,43.166474,80,VHDDEHHPKW,3453.31792,3453.31792
2000-05-24,0.0,BUY,28.634294500000003,95,WXYGAWGGWE,2720.2579775000004,2720.2579775000004
2000-05-24,0.0,BUY,22.213331500000002,521,HQEOROFRRH,11573.145711500001,11573.145711500001
2000-05-24,0.0,BUY,37.6956535,70,KCAEWUAMZU,2638.695745,2638.695745
2000-05-24,0.0,BUY,31.114666500000006,72,RVTKIAPNXG,2240.2559880000003,2240.2559880000003
2000-05-24,0.0,BUY,24.013601500000004,172,EIOMEVNYBL,4130.339458,4130.339458
